entity,year,item,value_meur,source,page,note
ASF-Escota,2023,revenue,4585.0,S-08,27,"Chiffre d'affaires hors travaux des sociétés concessionnaires (comptes consolidés groupe ASF, IFRS)"
ASF-Escota,2023,ancillary_income,63.9,S-08,27,"Produits des activités annexes"
ASF-Escota,2023,construction_revenue,394.0,S-08,27,"Chiffre d'affaires travaux des sociétés concessionnaires (IFRIC 12, sans marge)"
ASF-Escota,2023,purchases,53.4,S-08,27,"Achats consommés"
ASF-Escota,2023,external_services,317.2,S-08,27,"Services extérieurs"
ASF-Escota,2023,subcontracting_incl_construction,423.6,S-08,27,"Sous-traitance, y compris charges de construction des sociétés concessionnaires"
ASF-Escota,2023,taxes,545.7,S-08,27,"Impôts et taxes (TAT, redevance domaniale, CET et autres, non détaillés)"
ASF-Escota,2023,personnel,288.9,S-08,27,"Charges de personnel"
ASF-Escota,2023,other_operating,2.6,S-08,27,"Autres produits et charges opérationnels sur activité (produit net)"
ASF-Escota,2023,depreciation,837.1,S-08,27,"Dotations aux amortissements"
ASF-Escota,2023,depreciation_domain,769.2,S-08,33,"Amortissements de la période des coûts des infrastructures (note 9.1, avant subventions)"
ASF-Escota,2023,provisions,25.7,S-08,27,"Dotations nettes aux provisions"
ASF-Escota,2023,income_tax,591.0,S-08,14,"Impôts sur les bénéfices"
ASF-Escota,2023,net_income,1683.4,S-08,14,"Résultat net"
ASF-Escota,2023,gross_domain,23801.9,S-08,33,"Coûts des infrastructures, valeur brute au 31/12/2023 (note 9.1)"
ASF-Escota,2023,work_in_progress,627.6,S-08,33,"Avances et encours au 31/12/2023"
ASF-Escota,2023,subsidies_gross,470.1,S-08,33,"Subventions d'investissement, valeur brute au 31/12/2023 (en déduction)"
ASF-Escota,2023,accumulated_amortisation,14819.5,S-08,33,"Amortissements cumulés des coûts des infrastructures au 31/12/2023"
ASF-Escota,2023,subsidies_amortised,248.5,S-08,33,"Part amortie des subventions au 31/12/2023"
ASF-Escota,2023,net_domain,9388.4,S-08,16,"Immobilisations incorporelles du domaine concédé, valeur nette au 31/12/2023 (bilan)"
ASF-Escota,2023,tangible_net,364.6,S-08,16,"Immobilisations corporelles, valeur nette au 31/12/2023 (bilan ; inclut les biens d'exploitation du domaine concédé)"
Cofiroute,2023,revenue,1602.2,S-09,40,"Chiffre d'affaires d'exploitation (comptes individuels IFRS)"
Cofiroute,2023,ancillary_income,3.5,S-09,40,"Produits des activités annexes"
Cofiroute,2023,construction_revenue,162.2,S-09,40,"Chiffre d'affaires - construction de nouvelles infrastructures en concession"
Cofiroute,2023,purchases,23.2,S-09,40,"Achats consommés"
Cofiroute,2023,external_services,89.6,S-09,40,"Services extérieurs"
Cofiroute,2023,subcontracting_incl_construction,162.2,S-09,40,"Charges de construction des sociétés concessionnaires (pas d'autre sous-traitance isolée)"
Cofiroute,2023,taxes,170.8,S-09,40,"Impôt et taxes (non détaillés)"
Cofiroute,2023,personnel,97.3,S-09,40,"Charges de personnel"
Cofiroute,2023,other_operating,0.0,S-09,40,"Autres produits et charges opérationnels"
Cofiroute,2023,depreciation,276.4,S-09,40,"Dotations aux amortissements"
Cofiroute,2023,depreciation_domain,242.4,S-09,44,"Amortissements de la période des coûts des infrastructures en service (note 9.1)"
Cofiroute,2023,provisions,-1.5,S-09,40,"Dotations nettes aux provisions : reprise nette de 1,5 (produit)"
Cofiroute,2023,gross_domain,8796.0,S-09,44,"Coût des infrastructures en service, valeur brute au 31/12/2023 (subventions déjà déduites, note D)"
Cofiroute,2023,work_in_progress,421.0,S-09,44,"Avances et encours au 31/12/2023"
Cofiroute,2023,subsidies_gross,0.0,S-09,44,"Subventions présentées en diminution de l'actif (montant non isolé dans la note)"
Cofiroute,2023,accumulated_amortisation,4809.3,S-09,44,"Amortissements cumulés au 31/12/2023"
Cofiroute,2023,subsidies_amortised,0.0,S-09,44,"Sans objet (subventions nettées à l'actif)"
Cofiroute,2023,net_domain,4407.7,S-09,30,"Immobilisations incorporelles du domaine concédé, valeur nette au 31/12/2023 (bilan)"
Cofiroute,2023,tangible_net,180.4,S-09,30,"Immobilisations corporelles liées aux contrats de concession, valeur nette au 31/12/2023"
APRR-Area,2023,revenue,3018.7,S-10,5,"Chiffre d'affaires lié à l'exploitation de l'infrastructure (comptes consolidés APRR 2024, colonne 31/12/2023)"
APRR-Area,2023,ancillary_income,0.0,S-10,5,"Pas de ligne distincte (inclus dans le chiffre d'affaires)"
APRR-Area,2023,construction_revenue,230.5,S-10,5,"Chiffre d'affaires pour la construction des infrastructures en concession"
APRR-Area,2023,purchases,0.0,S-10,33,"Inclus dans achats et charges externes"
APRR-Area,2023,external_services,199.7,S-10,33,"Achats et charges externes 430,2 moins prestations de construction IFRIC 12 230,5"
